@relation cluster_data

@attribute var_0000 real
@attribute var_0001 real
@attribute var_0002 real
@attribute var_0003 real
@attribute var_0004 real
@attribute var_0005 real
@attribute var_0006 real
@attribute var_0007 real
@attribute var_0008 real
@attribute var_0009 real
@attribute var_0010 real
@attribute var_0011 real
@attribute var_0012 real
@attribute var_0013 real
@attribute var_0014 real
@attribute var_0015 real
@attribute var_0016 real
@attribute var_0017 real
@attribute var_0018 real
@attribute var_0019 real
@attribute class {0, 1, 2, 4, 8, 16, 32, 33}

@data
0.406861, 0.653709, 0.481988, 0.00101295, 0.71141, 0.479886, 0.780153, -0.00165813, 0.446858, 0.915706, 0.58253, 0.366783, -0.0052382, -0.00789307, 0.991623, 0.531148, -0.0156175, 0.100555, 0.00765497, 0.95315, 0
0.863179, 0.95808, 0.0865975, 0.557324, 0.00154106, -0.0183224, 0.431794, 0.0575164, 0.123291, 0.133309, 0.0690403, 0.00555307, 0.148381, 0.243054, 0.462367, 0.00924205, 0.564766, -0.00984207, 0.48442, 0.0170825, 0
0.757918, 0.152341, 0.096441, 0.00707817, 0.593609, 0.0328805, 0.680476, -0.0173402, 0.0512736, 0.372298, 0.106347, -0.00324793, 0.203942, 0.696727, -0.00369426, 0.667469, 0.105551, 0.0254865, 0.741728, 0.00630142, 0
0.983901, 0.800755, -0.00318744, 0.562511, 0.569152, 0.0570032, 0.805501, 0.677592, 0.147066, -0.00633871, 0.44779, -0.0121291, 0.405748, 0.254687, -0.00320534, 0.916764, 0.7928, -0.000481261, 0.465784, -0.0107163, 0
0.14969, 0.662218, -0.00371442, 0.522865, 0.952271, 0.693578, 0.00706211, 0.439078, -0.0103686, 0.455497, 0.0120814, 0.864087, 0.904125, 0.852206, 0.449171, 0.00469722, -0.000914297, 0.872719, -0.00435593, 0.168339, 0
0.797793, 0.294498, 0.0889038, 0.525276, -0.0112755, 0.152223, 0.207196, 0.00464339, 0.151203, 0.035735, -0.005357, 0.27324, 0.658786, 0.0178306, 0.201682, 0.00785338, 0.528345, -0.00597297, 0.0936082, 0.0163642, 0
0.167283, -0.00641012, 0.582979, 0.971405, 0.696371, 0.561469, 0.516534, 0.0154123, 0.13836, 0.683257, 0.595282, 0.00716657, 0.688832, 0.804403, 0.0150236, 0.119949, 0.139959, 0.0186025, 0.00382776, 0.454506, 0
0.00264269, 0.329263, 0.11875, 0.225713, 0.849162, 0.157661, 0.681961, 0.994789, -0.0062669, 0.661007, -0.00352303, 0.912192, 0.260088, 0.892297, 0.285702, -0.0120522, -0.00268162, 0.419024, 0.693108, 0.00358081, 0
0.176522, 0.104841, 0.0751512, 0.189014, -0.000921513, 0.583629, 0.513345, 0.898643, 0.601677, 0.728695, 0.562363, 0.0811367, 0.00285835, 0.600311, -0.0154226, 0.783004, 0.630911, -0.00211816, 0.668114, -0.000437248, 2
0.743535, 0.804494, -0.00778242, 0.110591, 0.849889, 0.721992, -0.0156436, 0.619844, 0.47077, 0.0272946, 0.275333, 0.726096, -0.00477143, 0.706294, 0.00123751, 0.644051, 0.936155, -0.00173879, 0.546448, 0.00676878, 0
0.150968, 0.803157, 0.949003, 0.00968647, 0.473047, 0.260091, 0.492796, 0.0109829, 0.76853, 0.278709, 0.00197003, 0.200061, 0.892308, 0.0141909, 0.318918, 0.935649, 0.0329372, 0.00256748, 0.37806, -0.000839109, 0
0.335623, 0.0781156, -0.00834038, 0.109679, 0.745567, 0.458931, 0.0743549, 0.988164, -0.0218094, 0.0880485, 0.00362308, 0.130194, 0.127753, 0.0096449, 0.936089, 0.449345, -0.00277595, 0.29367, 0.0114441, 0.894808, 0
0.60275, -0.00695323, 0.272187, 0.776375, 0.0395075, 0.712926, -0.0174032, 0.143446, 0.744074, 0.313451, 0.0164208, 0.320674, 0.292932, 0.0820895, 0.569758, 0.00924042, -0.00110987, 0.134318, -0.0161428, 0.256594, 0
0.00788734, 0.873441, -0.00741243, 0.692657, 0.522685, 0.495087, 0.00246763, 0.810832, 0.678027, 0.92643, 0.290952, 0.00588589, 0.472275, 0.902429, -0.00441008, 0.537223, -0.000594364, 0.191186, 0.224396, 0.00566853, 0
